date,version,message
2017-09-21,17.9.77,"Amount in words on invoices to show subdivision of Indian rupee (Indian paisa)"
2017-09-21,17.9.78,"WebTranslateIt"
2017-09-21,17.9.79,"Reference numbers for journal entries, expense claims and inter-account transfers are now automatically generated"
2017-09-22,17.9.80,"Fixed ambiguity issue when setting up date format on dates when day digit is the same as month digit #11661"
2017-09-22,17.9.81,"Reintroduced buttons 'Receive money' and 'Spend money' under 'Bank Accounts' and 'Cash Accounts' tabs when drilling-down to transaction list"
2017-09-22,17.9.82,"WebTranslateIt"
2017-09-22,17.9.83,"Added tooltips when left navigation is collapsed #9822"
2017-09-23,17.9.84,"no message"
2017-09-23,17.9.85,"Renamed 'Priority' field to 'Reference' field which is now automatically generated on 'Production Orders'"
2017-09-23,17.9.86,"WebTranslateIt"
2017-09-24,17.9.87,"no message"
2017-09-24,17.9.88,"WebTranslateIt"
2017-09-25,17.9.89,"WebTranslateIt"
2017-09-25,17.9.90,"Improved the look when viewing inventory kits"
2017-09-25,17.9.91,"Added ability to clone budgets"
2017-09-25,17.9.92,"Added ability to create a budget for individual tracking codes"
2017-09-26,17.9.93,"no message"
2017-09-26,17.9.94,"no message"
2017-09-27,17.9.95,"no message"
2017-09-27,17.9.96,"no message"
2017-09-27,17.9.97,"WebTranslateIt"
2017-09-27,17.10.0,"Added ability to open Manager files from anywhere without importing when using desktop edition #11921"
2017-09-28,17.10.1,"no message"
2017-09-28,17.10.2,"Fixed issue where it wasn't possible to attach multiple files at once when using Mac #11627"
2017-09-28,17.10.3,"WebTranslateIt"
2017-09-28,17.10.4,"Fixed error message when attempting to open Manager file directly on Mac #11937"
2017-09-29,17.10.5,"no message"
2017-09-30,17.10.6,"Invoice to have 'Tax Invoice' title when using GST 6% tax code in Maldives #9983"
2017-10-01,17.10.7,"no message"
2017-10-01,17.10.8,"WebTranslateIt"
2017-10-02,17.10.9,"Fixed default custom fields not showing for bank and cash transactions #11992"
2017-10-02,17.10.10,"Added Uzbek language"
2017-10-02,17.10.11,"Fixed bank statement importing issue when date column in CSV file contained unrecognized character #11998"
2017-10-02,17.10.12,"Added ability to set tracking codes on bank rules #9532"
2017-10-02,17.10.13,"WebTranslateIt"
2017-10-03,17.10.14,"no message"
2017-10-03,17.10.15,"no message"
2017-10-04,17.10.16,"Fixed crashing issue when trying to generate recurring sales invoice which has interval set to zero #12009"
2017-10-04,17.10.18,"Added ability to 'reverse signs' on Capital Accounts Summary report #11968"
2017-10-04,17.10.19,"WebTranslateIt"
2017-10-04,17.10.20,"Fixed multi-currency issue where foreign exchange gains or losses could be posted incorrectly to suspense account #12018"
2017-10-05,17.10.21,"WebTranslateIt"
2017-10-06,17.10.22,"no message"
2017-10-06,17.10.23,"WebTranslateIt"
2017-10-07,17.10.24,"Make bank rules compatible with custom control accounts #9532"
2017-10-07,17.10.25,"WebTranslateIt"
2017-10-09,17.10.26,"WebTranslateIt"
2017-10-10,17.10.27,"Added two new tax codes for Pakistan #12132"
2017-10-11,17.10.28,"WebTranslateIt"
2017-10-12,17.10.29,"Added ability to create, update or delete exchange rates in batch #8946"
2017-10-12,17.10.30,"Fixed bank rule issue where some account names didn't show if they had a code #12161"
2017-10-12,17.10.31,"WebTranslateIt"
2017-10-13,17.10.32,"WebTranslateIt"
2017-10-15,17.10.33,"no message"
2017-10-15,17.10.34,"WebTranslateIt"
2017-10-16,17.10.35,"no message"
2017-10-17,17.10.36,"no message"
2017-10-18,17.10.37,"Added ability to create custom fields for 'Folders' tab #12215"
2017-10-18,17.10.38,"Added new VAT tax code for users in Saudi Arabia #12135"
2017-10-18,17.10.39,"WebTranslateIt"
2017-10-19,17.10.40,"WebTranslateIt"
2017-10-20,17.10.41,"WebTranslateIt"
2017-10-20,17.10.42,"Added three new sales reports #12298"
2017-10-20,17.10.43,"no message"
2017-10-20,17.10.44,"no message"
2017-10-21,17.10.45,"no message"
2017-10-21,17.10.46,"no message"
2017-10-21,17.10.47,"WebTranslateIt"
2017-10-22,17.10.48,"WebTranslateIt"
2017-10-22,17.10.49,"no message"
2017-10-22,17.10.50,"no message"
2017-10-23,17.10.51,"When using Pakistan tax codes, automatically rename invoice title to 'Sales Tax Invoice'"
2017-10-23,17.10.52,"no message"
2017-10-24,17.10.54,"WebTranslateIt"
2017-10-25,17.10.55,"no message"
2017-10-25,17.10.56,"When drilling-down through figures under `Summary` tab, show running total as debit or credit balance"
2017-10-25,17.10.57,"no message"
2017-10-25,17.10.58,"no message"
2017-10-25,17.10.59,"no message"
2017-10-25,17.10.60,"WebTranslateIt"
2017-10-26,17.10.61,"no message"
2017-10-26,17.10.62,"Fixed unit name issue on inventory kits so they show on invoices, quotes, orders and other documents #12344"
2017-10-26,17.10.63,"Added ability to set withholding tax on recurring sales invoices #12362"
2017-10-26,17.10.64,"WebTranslateIt"
2017-10-26,17.10.65,"Added 'GST 0%' and 'GST Exempt' tax codes for New Zealand #12348"
2017-10-27,17.10.66,"WebTranslateIt"
2017-10-29,17.10.67,"Fixed issue when cash summary report was not visible if only 'Cash Accounts' tab was enabled #12427"
2017-10-29,17.10.68,"When installing Manager on Windows, added ability to uncheck shortcut creation #12386"
2017-10-29,17.10.69,"The item count on tabs in the left navigation not to include inactive items #12430"
2017-10-29,17.10.70,"no message"
2017-10-29,17.10.71,"no message"
2017-10-29,17.10.72,"If using custom control accounts for inventory items, show 'Control Account' column under 'Inventory Items' tab #8741"
